model,reranking_strategy,beta_mode,beta_value,N,fold,avg_recall,avg_precision,avg_f1,avg_ndcg,avg_EI,prop_sust_recom_items,nbr_sust_items_list,prop_sust_users,sust_coverage,coverage,avg_spearman_coef,prop_sust_recom_durable,prop_sust_recom_nondurable,gap
content,none,none,none,5,1,0.0011,0.0006,0.0008,0.0009,13.0411,0.3466,1.7328,0.7672,0.5169,0.5197,0.0247,0.421,0.2848,0.1362
content,A,global_0.0,0.0,5,1,0.0011,0.0006,0.0008,0.0009,13.0411,0.3466,1.7328,0.7672,0.5169,0.5197,0.0247,0.421,0.2848,0.1362
content,A,global_0.2,0.2,5,1,0.0012,0.0007,0.0009,0.0011,8.9329,0.4846,2.423,0.8904,0.6034,0.5105,0.0443,0.5695,0.4142,0.1553
content,A,global_0.4,0.4,5,1,0.0013,0.0008,0.001,0.0012,4.8424,0.7011,3.5056,0.974,0.664,0.4474,0.0369,0.7749,0.6399,0.1351
content,A,global_0.6,0.6,5,1,0.0015,0.0009,0.0011,0.0013,1.5147,0.9463,4.7314,1.0,0.5883,0.2609,-0.0362,0.9629,0.9325,0.0305
content,A,global_0.8,0.8,5,1,0.0009,0.0006,0.0007,0.001,0.1607,1.0,5.0,1.0,0.153,0.0505,-0.0684,1.0,1.0,0.0
content,A,global_1.0,1.0,5,1,0.0013,0.0008,0.0009,0.001,0.0195,1.0,5.0,1.0,0.0024,0.0008,0.9747,1.0,1.0,0.0
content,A,behavioral,p,5,1,0.0011,0.0007,0.0008,0.001,7.0401,0.5994,2.9972,0.9158,0.6381,0.4939,0.0338,0.7921,0.4396,0.3526
content,A,semantic,p,5,1,0.0012,0.0008,0.0009,0.0011,1.9931,0.9034,4.5172,0.991,0.5931,0.3268,-0.0271,0.9279,0.8831,0.0448
content,A,hybrid_5,p,5,1,0.0012,0.0008,0.0009,0.0011,5.4397,0.683,3.4148,0.9526,0.654,0.4642,0.0334,0.8428,0.5504,0.2924
content,A,hybrid_10,p,5,1,0.0012,0.0008,0.0009,0.0011,4.5174,0.7377,3.6884,0.9668,0.66,0.4386,0.0335,0.8699,0.628,0.2418
content,A,hybrid_20,p,5,1,0.0015,0.0009,0.0011,0.0013,3.6169,0.7965,3.9824,0.9792,0.6544,0.4066,0.0192,0.8916,0.7176,0.174
content,B,global_0.0,0.0,5,1,0.0012,0.0007,0.0008,0.001,13.1608,0.3471,1.7356,0.7656,0.5157,0.5208,0.0173,0.4214,0.2855,0.136
content,B,global_0.2,0.2,5,1,0.0013,0.0007,0.0009,0.0011,10.4728,0.4244,2.122,0.8904,0.5751,0.5193,0.0634,0.4978,0.3635,0.1344
content,B,global_0.4,0.4,5,1,0.0013,0.0008,0.0009,0.0012,8.2531,0.5221,2.6106,0.974,0.6269,0.5083,0.1104,0.5854,0.4696,0.1158
content,B,global_0.6,0.6,5,1,0.0014,0.0008,0.001,0.0012,6.4713,0.64,3.1998,1.0,0.6572,0.4792,0.203,0.6853,0.6023,0.083
content,B,global_0.8,0.8,5,1,0.0014,0.0009,0.0011,0.0013,4.7261,0.7734,3.867,1.0,0.6022,0.4105,0.3011,0.7936,0.7567,0.0369
content,B,global_1.0,1.0,5,1,0.0011,0.0006,0.0008,0.0008,1.3958,0.8,4.0,1.0,0.002,0.0009,0.3589,0.8,0.8,0.0
content,B,behavioral,p,5,1,0.0012,0.0007,0.0009,0.0011,9.4723,0.4746,2.3732,0.9158,0.6042,0.5184,0.0966,0.5964,0.3737,0.2227
content,B,semantic,p,5,1,0.0012,0.0008,0.0009,0.0011,6.5297,0.6423,3.2116,0.991,0.6441,0.4799,0.205,0.683,0.6086,0.0745
content,B,hybrid_5,p,5,1,0.0011,0.0007,0.0008,0.0011,8.5415,0.5146,2.573,0.9526,0.6218,0.5097,0.1137,0.618,0.4288,0.1892
content,B,hybrid_10,p,5,1,0.0011,0.0007,0.0008,0.001,8.1143,0.54,2.7,0.9668,0.6309,0.5064,0.1279,0.6316,0.464,0.1676
content,B,hybrid_20,p,5,1,0.0011,0.0007,0.0008,0.0011,7.6074,0.5696,2.848,0.9792,0.6409,0.5014,0.1453,0.6474,0.5051,0.1423
knn,none,none,none,5,1,0.0152,0.0103,0.0119,0.0163,14.9386,0.2796,1.3982,0.8174,0.621,0.6205,-0.0772,0.2799,0.2794,0.0005
knn,A,global_0.0,0.0,5,1,0.0152,0.0103,0.0119,0.0163,14.9386,0.2796,1.3982,0.8174,0.621,0.6205,-0.0772,0.2799,0.2794,0.0005
knn,A,global_0.2,0.2,5,1,0.013,0.0088,0.0101,0.0135,7.3533,0.6071,3.0356,0.9788,0.7593,0.5,-0.0453,0.5988,0.6141,-0.0153
knn,A,global_0.4,0.4,5,1,0.0072,0.005,0.0057,0.0079,2.7665,0.8582,4.2908,0.9992,0.674,0.3532,0.1021,0.8547,0.861,-0.0063
knn,A,global_0.6,0.6,5,1,0.0029,0.0022,0.0024,0.0031,0.6205,0.9861,4.9304,1.0,0.434,0.1616,0.2043,0.9856,0.9865,-0.0008
knn,A,global_0.8,0.8,5,1,0.0017,0.0013,0.0014,0.0017,0.1021,1.0,5.0,1.0,0.1534,0.0507,-0.0314,1.0,1.0,0.0
knn,A,global_1.0,1.0,5,1,0.0013,0.0008,0.0009,0.001,0.0195,1.0,5.0,1.0,0.0024,0.0008,0.9747,1.0,1.0,0.0
knn,A,behavioral,p,5,1,0.0103,0.007,0.008,0.0109,4.9097,0.7446,3.7232,0.9868,0.725,0.4428,0.0403,0.8708,0.64,0.2309
knn,A,semantic,p,5,1,0.004,0.0029,0.0032,0.0039,1.0793,0.9564,4.782,0.9994,0.4882,0.2183,0.1444,0.9509,0.961,-0.0101
knn,A,hybrid_5,p,5,1,0.0077,0.0053,0.006,0.0083,3.1873,0.8368,4.1842,0.9972,0.6784,0.3725,0.0971,0.9138,0.773,0.1408
